Date,StateName,DistrictName,Avg Soilmoisture Level (at 15cm),Avg SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Perg (at 15cm),Volume Soilmoisture percg (at 15cm)
22-01-2020,MAHARASHTRA,OSMANABAD,0,599.85,0,15.41244784
22-01-2020,MAHARASHTRA,BID,0,878.47,0,15.49665699
22-01-2020,MAHARASHTRA,LATUR,0,576.9,0,16.62006931
22-01-2020,MAHARASHTRA,YAVATMAL,0,1310.71,0,18.93263341
22-01-2020,MAHARASHTRA,BHANDARA,0,425.79,0,21.61090733
22-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,6.35,0,2.736625582
22-01-2020,MAHARASHTRA,NANDURBAR,0,306.15,0,10.16746205
22-01-2020,MAHARASHTRA,NAGPUR,0,1438.28,0,28.38796347
22-01-2020,MAHARASHTRA,CHANDRAPUR,0,1338.26,0,23.14089894
22-01-2020,MAHARASHTRA,JALGAON,0,936.16,0,15.57100355
22-01-2020,MAHARASHTRA,HINGOLI,0,530.86,0,22.09575636
22-01-2020,MAHARASHTRA,AKOLA,0,513.19,0,18.57711492
22-01-2020,MAHARASHTRA,AURANGABAD,0,755.63,0,14.59717194
22-01-2020,MAHARASHTRA,DHULE,0,347.51,0,9.472682016
22-01-2020,MAHARASHTRA,KOLHAPUR,0,460,0,11.57802655
22-01-2020,MAHARASHTRA,RAIGARH,0,394.62,0,10.73013008
22-01-2020,MAHARASHTRA,AMRAVATI,0,1487.33,0,23.86527179
22-01-2020,MAHARASHTRA,NANDED,0,1429.33,0,26.29707338
22-01-2020,MAHARASHTRA,SOLAPUR,0,1323.12,0,17.23087124
22-01-2020,MAHARASHTRA,AHMADNAGAR,0,1172.83,0,13.41002099
22-01-2020,MAHARASHTRA,THANE,0,413.16,0,8.47014908
22-01-2020,MAHARASHTRA,SANGLI,0,632.5,0,14.29963707
22-01-2020,MAHARASHTRA,WARDHA,0,860.59,0,26.69878108
22-01-2020,MAHARASHTRA,BULDANA,0,770.41,0,15.45617791
22-01-2020,MAHARASHTRA,SINDHUDURG,0,290.73,0,11.05010809
21-01-2020,MAHARASHTRA,WASHIM,0,587,0,22.0871689
21-01-2020,MAHARASHTRA,SATARA,0,658.55,0,12.16047466
21-01-2020,MAHARASHTRA,PUNE,0,1096.11,0,13.62607983
